ID,Signal,Direction,Entry Time,Entry Price,Exit Time,Exit Price,Exit Reason,Bars Held,Delta,Option Entry,Option Exit,Contracts,P&L,P&L %
18,POC_RECLAIM,LONG,2025-12-10 09:35,682.30,2025-12-10 10:50,682.32,Opposite signal: POC_BREAKDOWN,15,0.30,2.05,2.05,1,-0.70,0.3%
19,POC_BREAKDOWN,SHORT,2025-12-10 10:50,682.32,2025-12-10 13:00,683.77,Opposite signal: SUSTAINED_BREAKOUT,26,0.30,2.05,1.61,1,-44.80,-21.3%
20,SUSTAINED_BREAKOUT,LONG,2025-12-10 13:00,683.77,2025-12-11 09:45,683.67,Opposite signal: POC_BREAKDOWN,39,0.40,2.74,2.70,1,-5.30,-1.5%
21,POC_BREAKDOWN,SHORT,2025-12-11 09:45,683.67,2025-12-15 11:15,682.63,Opposite signal: POC_RECLAIM,174,0.30,2.05,2.36,1,29.90,15.2%
22,POC_RECLAIM,LONG,2025-12-15 11:15,682.63,2025-12-15 14:20,680.78,Opposite signal: SUSTAINED_BREAKDOWN,37,0.30,2.05,1.49,1,-56.65,-27.0%
23,SUSTAINED_BREAKDOWN,SHORT,2025-12-15 14:20,680.78,2025-12-16 09:45,679.68,Opposite signal: POC_RECLAIM,23,0.40,2.72,3.16,1,42.70,16.2%
24,POC_RECLAIM,LONG,2025-12-16 09:45,679.68,2025-12-16 11:20,677.12,Opposite signal: SUSTAINED_BREAKDOWN,19,0.30,2.04,1.27,1,-78.25,-37.7%
25,SUSTAINED_BREAKDOWN,SHORT,2025-12-16 11:20,677.12,2025-12-16 15:30,679.81,Opposite signal: SUSTAINED_BREAKOUT,50,0.30,2.03,1.22,1,-82.00,-39.7%
26,SUSTAINED_BREAKOUT,LONG,2025-12-16 15:30,679.81,2025-12-17 10:30,677.94,Opposite signal: POC_BREAKDOWN,18,0.40,2.72,1.97,1,-76.10,-27.5%
27,POC_BREAKDOWN,SHORT,2025-12-17 10:30,677.94,2025-12-19 11:30,680.23,Opposite signal: SUSTAINED_BREAKOUT,168,0.30,2.03,1.35,1,-70.00,-33.8%
28,SUSTAINED_BREAKOUT,LONG,2025-12-19 11:30,680.23,2025-12-22 10:30,683.49,Opposite signal: POC_BREAKDOWN,66,0.30,2.04,3.02,1,96.50,47.9%
29,POC_BREAKDOWN,SHORT,2025-12-22 10:30,683.49,2025-12-22 12:05,684.74,Opposite signal: SUSTAINED_BREAKOUT,19,0.30,2.05,1.68,1,-38.80,-18.3%
30,SUSTAINED_BREAKOUT,LONG,2025-12-22 12:05,684.74,2025-12-26 10:50,690.63,Opposite signal: POC_BREAKDOWN,219,0.40,2.74,5.09,1,234.30,86.0%
31,POC_BREAKDOWN,SHORT,2025-12-26 10:50,690.63,2025-12-26 14:00,690.40,Opposite signal: POC_RECLAIM,38,0.30,2.07,2.14,1,5.60,3.3%
32,POC_RECLAIM,LONG,2025-12-26 14:00,690.40,2025-12-29 10:45,687.50,Opposite signal: POC_BREAKDOWN,39,0.40,2.76,1.60,1,-117.30,-42.0%
33,POC_BREAKDOWN,SHORT,2025-12-29 10:45,687.50,2025-12-30 09:45,688.01,Opposite signal: POC_RECLAIM,66,0.30,2.06,1.91,1,-16.60,-7.4%
34,POC_RECLAIM,LONG,2025-12-30 09:45,688.01,2025-12-30 14:00,687.52,Opposite signal: POC_BREAKDOWN,51,0.30,2.06,1.92,1,-16.00,-7.1%
35,POC_BREAKDOWN,SHORT,2025-12-30 14:00,687.52,2025-12-30 15:20,687.66,Opposite signal: POC_RECLAIM,16,0.40,2.75,2.69,1,-7.10,-2.1%
36,POC_RECLAIM,LONG,2025-12-30 15:20,687.66,2025-12-30 15:55,686.94,End of backtest,7,0.40,2.75,2.46,1,-30.30,-10.5%
